Location,Country,Type_var,Type of indicator,Variable,Indicator,Time,Value
AUS,Australia,AVERAGE,Average,1_1,Household income,2004,28476
AUS,Australia,AVERAGE,Average,1_1,Household income,2005,28730
AUS,Australia,AVERAGE,Average,1_1,Household income,2006,29777
AUS,Australia,AVERAGE,Average,1_1,Household income,2007,30911
AUS,Australia,AVERAGE,Average,1_1,Household income,2008,32475
AUS,Australia,AVERAGE,Average,1_1,Household income,2009,32205
AUS,Australia,AVERAGE,Average,1_1,Household income,2010,33505
AUS,Australia,AVERAGE,Average,1_1,Household income,2011,34050
AUS,Australia,AVERAGE,Average,1_1,Household income,2012,33617
AUS,Australia,AVERAGE,Average,1_1,Household income,2013,34011
AUS,Australia,AVERAGE,Average,1_1,Household income,2014,34468
AUS,Australia,AVERAGE,Average,1_1,Household income,2015,34472
AUS,Australia,AVERAGE,Average,1_1,Household income,2016,34746
AUS,Australia,AVERAGE,Average,1_1,Household income,2017,34994
AUS,Australia,AVERAGE,Average,1_1,Household income,2018,35452
AUS,Australia,AVERAGE,Average,1_1,Household income,2019,36485
AUS,Australia,AVERAGE,Average,1_1,Household income,2020,37911
AUS,Australia,AVERAGE,Average,1_1,Household income,2021,38722
AUS,Australia,AVERAGE,Average,1_3,Household wealth,2012,262233
AUS,Australia,AVERAGE,Average,1_3,Household wealth,2014,260012
AUS,Australia,AVERAGE,Average,1_3,Household wealth,2018,278028
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2004,72.39700367
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2005,73.6793931
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2006,74.30882818
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2007,75.05702116
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2008,75.47519212
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2009,74.89310859
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2010,75.44437316
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2011,75.79849354
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2012,75.58943291
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2013,75.33553026
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2014,75.04968694
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2015,75.58007864
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2016,75.92709088
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2017,76.57617357
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2018,77.19069533
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2019,77.77644127
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2020,76.45568355
AUS,Australia,AVERAGE,Average,2_1,Employment rate,2021,78.21363354
AUS,Australia,AVERAGE,Average,2_5,Labour market insecurity,2007,2.265508652
AUS,Australia,AVERAGE,Average,2_5,Labour market insecurity,2008,2.495413303
AUS,Australia,AVERAGE,Average,2_5,Labour market insecurity,2009,3.194911003
AUS,Australia,AVERAGE,Average,2_5,Labour market insecurity,2010,2.85750246
AUS,Australia,AVERAGE,Average,2_5,Labour market insecurity,2011,2.819424868
AUS,Australia,AVERAGE,Average,2_5,Labour market insecurity,2012,2.992317915
AUS,Australia,AVERAGE,Average,2_5,Labour market insecurity,2013,3.269894361
AUS,Australia,AVERAGE,Average,2_5,Labour market insecurity,2014,3.481648445
AUS,Australia,AVERAGE,Average,2_5,Labour market insecurity,2015,3.373435497
AUS,Australia,AVERAGE,Average,2_5,Labour market insecurity,2016,3.073289633
AUS,Australia,AVERAGE,Average,3_5,Households with internet access at home ,2005,28.3
AUS,Australia,AVERAGE,Average,3_5,Households with internet access at home ,2006,43
AUS,Australia,AVERAGE,Average,3_5,Households with internet access at home ,2007,52
AUS,Australia,AVERAGE,Average,3_5,Households with internet access at home ,2008,62
AUS,Australia,AVERAGE,Average,3_5,Households with internet access at home ,2010,72.62
AUS,Australia,AVERAGE,Average,3_5,Households with internet access at home ,2012,77
AUS,Australia,AVERAGE,Average,4_1,Time off,2006,14.35621358
AUS,Australia,AVERAGE,Average,4_3,Gender gap in working hours,2006,6.435540199
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2004,80.5
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2005,80.8
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2006,81
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2007,81.3
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2008,81.4
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2009,81.5
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2010,81.7
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2011,81.9
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2012,82
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2013,82.1
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2014,82.3
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2015,82.4
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2016,82.4
AUS,Australia,AVERAGE,Average,5_1,Life expectancy at birth,2017,82.5
