ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,2017,2018,2019,2020
AFG,NGDP_R,Afghanistan,"Gross domestic product, constant prices",National currency,Billions,"1,255.29","1,270.22","1,319.90","1,288.87"
AFG,NGDP_RPCH,Afghanistan,"Gross domestic product, constant prices",Percent change,,2.647,1.189,3.912,-2.351
AFG,NGDP,Afghanistan,"Gross domestic product, current prices",National currency,Billions,"1,285.46","1,327.69","1,469.60","1,547.29"
AFG,NGDPD,Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,18.883,18.401,18.876,20.136
AFG,PPPGDP,Afghanistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,74.712,77.418,81.889,81.007
AFG,NGDP_D,Afghanistan,"Gross domestic product, deflator",Index,,102.404,104.525,111.341,120.05
AFG,NGDPRPC,Afghanistan,"Gross domestic product per capita, constant prices",National currency,Units,"42,265.57","40,196.70","40,990.73","39,127.08"
AFG,NGDPRPPPPC,Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"2,515.55","2,392.42","2,439.68","2,328.76"
AFG,NGDPPC,Afghanistan,"Gross domestic product per capita, current prices",National currency,Units,"43,281.49","42,015.52","45,639.64","46,972.10"
AFG,NGDPDPC,Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,635.789,582.323,586.204,611.268
AFG,PPPPC,Afghanistan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,515.55","2,449.94","2,543.14","2,459.20"
AFG,NGAP_NPGDP,Afghanistan,Output gap in percent of potential GDP,Percent of potential GDP,,,,,
AFG,PPPSH,Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.061,0.06,0.06,0.061
AFG,PPPEX,Afghanistan,Implied PPP conversion rate,National currency per current international dollar,,17.206,17.15,17.946,19.101
AFG,NID_NGDP,Afghanistan,Total investment,Percent of GDP,,18.481,18.039,18.192,16.462
AFG,NGSD_NGDP,Afghanistan,Gross national savings,Percent of GDP,,26.058,30.197,29.897,27.619
AFG,PCPI,Afghanistan,"Inflation, average consumer prices",Index,,110.998,111.693,114.264,120.671
AFG,PCPIPCH,Afghanistan,"Inflation, average consumer prices",Percent change,,4.976,0.626,2.302,5.607
AFG,PCPIE,Afghanistan,"Inflation, end of period consumer prices",Index,,112.315,113.162,116.3,122.1
AFG,PCPIEPCH,Afghanistan,"Inflation, end of period consumer prices",Percent change,,3.041,0.755,2.773,4.987
AFG,TM_RPCH,Afghanistan,Volume of imports of goods and services,Percent change,,4.446,-5.115,-7.839,-3.217
AFG,TMG_RPCH,Afghanistan,Volume of Imports of goods,Percent change,,2.6,-8.076,-6.651,-2.153
AFG,TX_RPCH,Afghanistan,Volume of exports of goods and services,Percent change,,-6.21,28.366,-4.161,0.534
AFG,TXG_RPCH,Afghanistan,Volume of exports of goods,Percent change,,17.643,2.861,1.593,-16.606
AFG,LUR,Afghanistan,Unemployment rate,Percent of total labor force,,,,,
AFG,LE,Afghanistan,Employment,Persons,Millions,,n/a,,
AFG,LP,Afghanistan,Population,Persons,Millions,29.7,31.6,32.2,32.941
AFG,GGR,Afghanistan,General government revenue,National currency,Billions,347.829,405.873,395.923,397.564
AFG,GGR_NGDP,Afghanistan,General government revenue,Percent of GDP,,27.059,30.57,26.941,25.694
AFG,GGX,Afghanistan,General government total expenditure,National currency,Billions,356.482,384.176,411.473,432.266
AFG,GGX_NGDP,Afghanistan,General government total expenditure,Percent of GDP,,27.732,28.936,27.999,27.937
AFG,GGXCNL,Afghanistan,General government net lending/borrowing,National currency,Billions,-8.653,21.697,-15.55,-34.703
AFG,GGXCNL_NGDP,Afghanistan,General government net lending/borrowing,Percent of GDP,,-0.673,1.634,-1.058,-2.243
AFG,GGSB,Afghanistan,General government structural balance,National currency,Billions,,,,
AFG,GGSB_NPGDP,Afghanistan,General government structural balance,Percent of potential GDP,,,,,
AFG,GGXONLB,Afghanistan,General government primary net lending/borrowing,National currency,Billions,-7.767,22.486,-14.971,-34.131
AFG,GGXONLB_NGDP,Afghanistan,General government primary net lending/borrowing,Percent of GDP,,-0.604,1.694,-1.019,-2.206
AFG,GGXWDN,Afghanistan,General government net debt,National currency,Billions,,,,
AFG,GGXWDN_NGDP,Afghanistan,General government net debt,Percent of GDP,,,,,
AFG,GGXWDG,Afghanistan,General government gross debt,National currency,Billions,102.807,98.042,90.092,114.461
